userId,vendorId,rating,text
19,27,4,Worth every rupee. Delicious and hygienic.
39,42,4,Authentic taste with generous portions and friendly staff.
44,28,4,Great flavors and quick service. Would definitely visit again.
43,11,5,Worth every rupee. Delicious and hygienic.
22,12,3,Good taste but waiting time was a little long.
44,40,5,Great flavors and quick service. Would definitely visit again.
10,4,5,Authentic taste with generous portions and friendly staff.
40,10,4,Worth every rupee. Delicious and hygienic.
13,50,4,Great flavors and quick service. Would definitely visit again.
10,1,2,Food was cold when served and lacked flavor.
50,55,5,Worth every rupee. Delicious and hygienic.
30,7,4,Absolutely loved the food. Fresh ingredients and excellent taste.
30,18,3,Nice place overall though seating could improve.
49,57,4,Worth every rupee. Delicious and hygienic.
28,71,4,Great flavors and quick service. Would definitely visit again.
48,61,4,Great flavors and quick service. Would definitely visit again.
41,36,3,Reasonable pricing with satisfactory quality.
41,31,5,Absolutely loved the food. Fresh ingredients and excellent taste.
46,37,5,One of the best meals I've had in Delhi. Highly recommended.
21,70,5,Great flavors and quick service. Would definitely visit again.
15,50,3,Good taste but waiting time was a little long.
5,54,4,Worth every rupee. Delicious and hygienic.
30,54,5,Authentic taste with generous portions and friendly staff.
25,75,2,Food was cold when served and lacked flavor.
49,74,4,Absolutely loved the food. Fresh ingredients and excellent taste.
23,39,3,Reasonable pricing with satisfactory quality.
35,70,3,Good taste but waiting time was a little long.
32,29,5,Authentic taste with generous portions and friendly staff.
2,50,5,Authentic taste with generous portions and friendly staff.
47,22,3,Good taste but waiting time was a little long.
40,69,5,Authentic taste with generous portions and friendly staff.
38,73,3,Food was decent and service was average.
42,55,5,Authentic taste with generous portions and friendly staff.
12,7,5,One of the best meals I've had in Delhi. Highly recommended.
14,59,5,Authentic taste with generous portions and friendly staff.
18,54,5,Absolutely loved the food. Fresh ingredients and excellent taste.
31,3,3,Food was decent and service was average.
23,29,3,Food was decent and service was average.
49,4,2,Service was slow and the order was delayed.
2,20,5,Authentic taste with generous portions and friendly staff.
43,15,4,Great flavors and quick service. Would definitely visit again.
30,33,3,Good taste but waiting time was a little long.
39,15,3,Good taste but waiting time was a little long.
20,14,4,One of the best meals I've had in Delhi. Highly recommended.
37,49,4,Great flavors and quick service. Would definitely visit again.
5,32,5,One of the best meals I've had in Delhi. Highly recommended.
44,16,3,Food was decent and service was average.
23,69,4,One of the best meals I've had in Delhi. Highly recommended.
5,65,4,Absolutely loved the food. Fresh ingredients and excellent taste.
27,63,5,One of the best meals I've had in Delhi. Highly recommended.
41,59,3,Reasonable pricing with satisfactory quality.
12,67,1,Expected better quality for the price.
40,69,3,Reasonable pricing with satisfactory quality.
28,35,5,Great flavors and quick service. Would definitely visit again.
6,36,2,Service was slow and the order was delayed.
49,60,4,Authentic taste with generous portions and friendly staff.
22,4,4,One of the best meals I've had in Delhi. Highly recommended.
12,63,5,One of the best meals I've had in Delhi. Highly recommended.
22,36,2,Expected better quality for the price.
36,2,4,Great flavors and quick service. Would definitely visit again.
6,31,3,Reasonable pricing with satisfactory quality.
36,31,3,Reasonable pricing with satisfactory quality.
29,3,5,Great flavors and quick service. Would definitely visit again.
26,32,5,Worth every rupee. Delicious and hygienic.
24,61,4,One of the best meals I've had in Delhi. Highly recommended.
28,71,5,Authentic taste with generous portions and friendly staff.
18,40,5,Absolutely loved the food. Fresh ingredients and excellent taste.
47,25,5,Worth every rupee. Delicious and hygienic.
49,24,5,Authentic taste with generous portions and friendly staff.
18,68,4,Absolutely loved the food. Fresh ingredients and excellent taste.
13,38,5,Great flavors and quick service. Would definitely visit again.
20,2,3,Good taste but waiting time was a little long.
18,6,1,Expected better quality for the price.
45,17,4,Authentic taste with generous portions and friendly staff.
7,2,4,Authentic taste with generous portions and friendly staff.
31,57,5,Absolutely loved the food. Fresh ingredients and excellent taste.
17,62,5,Absolutely loved the food. Fresh ingredients and excellent taste.
26,63,5,Absolutely loved the food. Fresh ingredients and excellent taste.
10,20,3,Nice place overall though seating could improve.
6,32,5,Authentic taste with generous portions and friendly staff.
39,29,3,Reasonable pricing with satisfactory quality.
29,57,5,Worth every rupee. Delicious and hygienic.
28,40,4,Absolutely loved the food. Fresh ingredients and excellent taste.
40,13,2,Service was slow and the order was delayed.
41,28,5,Absolutely loved the food. Fresh ingredients and excellent taste.
11,31,5,Absolutely loved the food. Fresh ingredients and excellent taste.
11,1,4,Worth every rupee. Delicious and hygienic.
31,38,5,One of the best meals I've had in Delhi. Highly recommended.
46,37,3,Reasonable pricing with satisfactory quality.
5,30,2,Service was slow and the order was delayed.
28,15,4,Great flavors and quick service. Would definitely visit again.
18,19,5,Great flavors and quick service. Would definitely visit again.
20,73,2,Not a great experience. Can be improved.
8,60,3,Reasonable pricing with satisfactory quality.
18,65,4,Authentic taste with generous portions and friendly staff.
6,6,2,Expected better quality for the price.
39,33,5,Great flavors and quick service. Would definitely visit again.
44,74,4,Absolutely loved the food. Fresh ingredients and excellent taste.
49,35,4,Great flavors and quick service. Would definitely visit again.
31,67,3,Nice place overall though seating could improve.
12,75,4,Authentic taste with generous portions and friendly staff.
6,61,5,One of the best meals I've had in Delhi. Highly recommended.
21,14,2,Expected better quality for the price.
27,64,5,Authentic taste with generous portions and friendly staff.
49,71,5,Absolutely loved the food. Fresh ingredients and excellent taste.
21,33,5,Authentic taste with generous portions and friendly staff.
33,1,3,Reasonable pricing with satisfactory quality.
27,7,5,One of the best meals I've had in Delhi. Highly recommended.
40,64,4,Absolutely loved the food. Fresh ingredients and excellent taste.
14,35,4,One of the best meals I've had in Delhi. Highly recommended.
29,63,5,Worth every rupee. Delicious and hygienic.
16,21,5,Absolutely loved the food. Fresh ingredients and excellent taste.
36,53,5,Absolutely loved the food. Fresh ingredients and excellent taste.
30,16,4,Great flavors and quick service. Would definitely visit again.
32,38,4,One of the best meals I've had in Delhi. Highly recommended.
27,62,1,Service was slow and the order was delayed.
30,71,5,Great flavors and quick service. Would definitely visit again.
39,66,3,Good taste but waiting time was a little long.
5,36,3,Reasonable pricing with satisfactory quality.
22,65,5,Absolutely loved the food. Fresh ingredients and excellent taste.
19,39,3,Reasonable pricing with satisfactory quality.
10,58,4,One of the best meals I've had in Delhi. Highly recommended.
22,71,3,Reasonable pricing with satisfactory quality.
30,42,2,Service was slow and the order was delayed.
37,50,5,Authentic taste with generous portions and friendly staff.
3,41,3,Reasonable pricing with satisfactory quality.
25,20,4,Absolutely loved the food. Fresh ingredients and excellent taste.
9,65,1,Expected better quality for the price.
7,57,5,Authentic taste with generous portions and friendly staff.
1,19,4,Great flavors and quick service. Would definitely visit again.
5,61,3,Nice place overall though seating could improve.
22,51,4,One of the best meals I've had in Delhi. Highly recommended.
44,69,4,One of the best meals I've had in Delhi. Highly recommended.
41,63,2,Food was cold when served and lacked flavor.
40,9,5,One of the best meals I've had in Delhi. Highly recommended.
15,12,4,Absolutely loved the food. Fresh ingredients and excellent taste.
49,13,4,One of the best meals I've had in Delhi. Highly recommended.
2,6,5,Absolutely loved the food. Fresh ingredients and excellent taste.
19,46,4,Great flavors and quick service. Would definitely visit again.
16,68,4,Great flavors and quick service. Would definitely visit again.
11,23,5,Authentic taste with generous portions and friendly staff.
40,31,4,Worth every rupee. Delicious and hygienic.
10,30,4,One of the best meals I've had in Delhi. Highly recommended.
30,33,3,Reasonable pricing with satisfactory quality.
19,70,5,Authentic taste with generous portions and friendly staff.
23,39,4,Authentic taste with generous portions and friendly staff.
45,33,4,One of the best meals I've had in Delhi. Highly recommended.
13,50,2,Food was cold when served and lacked flavor.
16,49,4,Worth every rupee. Delicious and hygienic.
19,38,5,Authentic taste with generous portions and friendly staff.
18,2,4,Absolutely loved the food. Fresh ingredients and excellent taste.
39,64,3,Nice place overall though seating could improve.
50,30,4,One of the best meals I've had in Delhi. Highly recommended.
15,25,4,Great flavors and quick service. Would definitely visit again.
41,13,2,Food was cold when served and lacked flavor.
20,57,5,One of the best meals I've had in Delhi. Highly recommended.
47,17,5,One of the best meals I've had in Delhi. Highly recommended.
21,54,5,Great flavors and quick service. Would definitely visit again.
35,47,4,One of the best meals I've had in Delhi. Highly recommended.
11,33,2,Not a great experience. Can be improved.
19,44,3,Reasonable pricing with satisfactory quality.
5,19,3,Good taste but waiting time was a little long.
44,51,1,Expected better quality for the price.
6,51,5,Worth every rupee. Delicious and hygienic.
8,59,4,One of the best meals I've had in Delhi. Highly recommended.
38,49,3,Nice place overall though seating could improve.
7,30,4,Worth every rupee. Delicious and hygienic.
36,42,2,Service was slow and the order was delayed.
42,9,4,Authentic taste with generous portions and friendly staff.
45,39,4,Absolutely loved the food. Fresh ingredients and excellent taste.
9,6,2,Expected better quality for the price.
32,15,5,Worth every rupee. Delicious and hygienic.
9,50,4,Worth every rupee. Delicious and hygienic.
27,20,2,Food was cold when served and lacked flavor.
32,53,2,Expected better quality for the price.
3,48,5,Authentic taste with generous portions and friendly staff.
16,47,5,One of the best meals I've had in Delhi. Highly recommended.
35,46,5,One of the best meals I've had in Delhi. Highly recommended.
13,16,2,Not a great experience. Can be improved.
6,28,4,Worth every rupee. Delicious and hygienic.
2,7,3,Good taste but waiting time was a little long.
9,73,5,Worth every rupee. Delicious and hygienic.
14,28,3,Good taste but waiting time was a little long.
22,19,3,Food was decent and service was average.
18,19,1,Expected better quality for the price.
12,15,3,Food was decent and service was average.
9,2,4,Great flavors and quick service. Would definitely visit again.
38,42,5,One of the best meals I've had in Delhi. Highly recommended.
4,17,3,Food was decent and service was average.
48,9,4,One of the best meals I've had in Delhi. Highly recommended.
33,14,4,Great flavors and quick service. Would definitely visit again.
40,6,3,Nice place overall though seating could improve.
30,4,5,Authentic taste with generous portions and friendly staff.
26,55,3,Reasonable pricing with satisfactory quality.
46,57,5,Absolutely loved the food. Fresh ingredients and excellent taste.
21,19,5,One of the best meals I've had in Delhi. Highly recommended.
40,75,4,One of the best meals I've had in Delhi. Highly recommended.
25,68,5,Worth every rupee. Delicious and hygienic.
39,56,5,Absolutely loved the food. Fresh ingredients and excellent taste.
42,71,3,Good taste but waiting time was a little long.
28,58,2,Not a great experience. Can be improved.
22,59,4,Absolutely loved the food. Fresh ingredients and excellent taste.
21,55,5,One of the best meals I've had in Delhi. Highly recommended.
24,20,3,Reasonable pricing with satisfactory quality.
5,12,3,Food was decent and service was average.
28,13,3,Nice place overall though seating could improve.
9,72,5,Worth every rupee. Delicious and hygienic.
36,43,3,Reasonable pricing with satisfactory quality.
23,55,2,Food was cold when served and lacked flavor.
19,40,4,Worth every rupee. Delicious and hygienic.
33,28,5,Authentic taste with generous portions and friendly staff.
15,14,4,Worth every rupee. Delicious and hygienic.
24,15,3,Good taste but waiting time was a little long.
28,72,1,Food was cold when served and lacked flavor.
39,35,5,One of the best meals I've had in Delhi. Highly recommended.
45,40,2,Expected better quality for the price.
1,24,2,Not a great experience. Can be improved.
5,19,3,Food was decent and service was average.
6,68,5,Authentic taste with generous portions and friendly staff.
30,44,5,One of the best meals I've had in Delhi. Highly recommended.
47,42,3,Food was decent and service was average.
4,20,5,Worth every rupee. Delicious and hygienic.
4,11,5,Authentic taste with generous portions and friendly staff.
32,57,4,Great flavors and quick service. Would definitely visit again.
49,66,5,Authentic taste with generous portions and friendly staff.
8,37,3,Reasonable pricing with satisfactory quality.
34,40,5,Authentic taste with generous portions and friendly staff.
39,8,5,One of the best meals I've had in Delhi. Highly recommended.
14,18,3,Nice place overall though seating could improve.
21,16,5,Authentic taste with generous portions and friendly staff.
12,17,4,Great flavors and quick service. Would definitely visit again.
33,72,3,Nice place overall though seating could improve.
5,51,2,Food was cold when served and lacked flavor.
28,3,4,Absolutely loved the food. Fresh ingredients and excellent taste.
21,74,4,Authentic taste with generous portions and friendly staff.
46,54,5,Authentic taste with generous portions and friendly staff.
2,42,5,Worth every rupee. Delicious and hygienic.
30,47,5,Absolutely loved the food. Fresh ingredients and excellent taste.
16,56,4,Worth every rupee. Delicious and hygienic.
6,51,2,Expected better quality for the price.
15,43,3,Food was decent and service was average.
33,15,4,Great flavors and quick service. Would definitely visit again.
50,45,4,Great flavors and quick service. Would definitely visit again.
16,14,5,Great flavors and quick service. Would definitely visit again.
12,20,3,Food was decent and service was average.
12,64,4,Worth every rupee. Delicious and hygienic.
49,75,4,Worth every rupee. Delicious and hygienic.
42,42,2,Expected better quality for the price.
10,57,5,Authentic taste with generous portions and friendly staff.
41,39,3,Food was decent and service was average.
23,65,5,Authentic taste with generous portions and friendly staff.
29,5,5,One of the best meals I've had in Delhi. Highly recommended.
5,12,4,Worth every rupee. Delicious and hygienic.
25,60,4,Absolutely loved the food. Fresh ingredients and excellent taste.
29,74,3,Nice place overall though seating could improve.
39,61,4,Absolutely loved the food. Fresh ingredients and excellent taste.
29,14,3,Nice place overall though seating could improve.
46,11,4,Great flavors and quick service. Would definitely visit again.
3,32,3,Reasonable pricing with satisfactory quality.
34,67,4,One of the best meals I've had in Delhi. Highly recommended.
24,37,4,One of the best meals I've had in Delhi. Highly recommended.
44,7,3,Nice place overall though seating could improve.
5,43,5,Authentic taste with generous portions and friendly staff.
19,33,3,Good taste but waiting time was a little long.
22,11,4,Great flavors and quick service. Would definitely visit again.
23,40,1,Not a great experience. Can be improved.
9,11,5,Authentic taste with generous portions and friendly staff.
42,43,3,Food was decent and service was average.
42,55,4,Absolutely loved the food. Fresh ingredients and excellent taste.
24,40,5,Great flavors and quick service. Would definitely visit again.
22,63,5,Great flavors and quick service. Would definitely visit again.
10,10,5,Absolutely loved the food. Fresh ingredients and excellent taste.
33,70,3,Food was decent and service was average.
43,44,2,Service was slow and the order was delayed.
39,49,5,Great flavors and quick service. Would definitely visit again.
45,22,3,Food was decent and service was average.
27,47,3,Good taste but waiting time was a little long.
29,37,3,Reasonable pricing with satisfactory quality.
15,69,5,Authentic taste with generous portions and friendly staff.
13,48,3,Reasonable pricing with satisfactory quality.
30,37,3,Reasonable pricing with satisfactory quality.
11,26,3,Good taste but waiting time was a little long.
17,7,4,One of the best meals I've had in Delhi. Highly recommended.
36,14,3,Food was decent and service was average.
19,11,3,Nice place overall though seating could improve.
29,66,5,Authentic taste with generous portions and friendly staff.
6,29,3,Nice place overall though seating could improve.
2,54,5,Worth every rupee. Delicious and hygienic.
24,31,4,Absolutely loved the food. Fresh ingredients and excellent taste.
24,29,5,Absolutely loved the food. Fresh ingredients and excellent taste.
46,43,3,Good taste but waiting time was a little long.
3,37,2,Not a great experience. Can be improved.
45,18,3,Reasonable pricing with satisfactory quality.
29,1,2,Food was cold when served and lacked flavor.
17,28,3,Reasonable pricing with satisfactory quality.
8,37,5,Absolutely loved the food. Fresh ingredients and excellent taste.
4,31,4,Worth every rupee. Delicious and hygienic.
30,9,5,Authentic taste with generous portions and friendly staff.
39,69,5,Worth every rupee. Delicious and hygienic.
37,31,3,Nice place overall though seating could improve.
28,1,4,Great flavors and quick service. Would definitely visit again.
37,54,5,Absolutely loved the food. Fresh ingredients and excellent taste.
34,47,5,Worth every rupee. Delicious and hygienic.
35,65,3,Food was decent and service was average.
25,61,5,Authentic taste with generous portions and friendly staff.
24,33,3,Nice place overall though seating could improve.
5,45,5,Absolutely loved the food. Fresh ingredients and excellent taste.
50,75,3,Nice place overall though seating could improve.
9,6,4,One of the best meals I've had in Delhi. Highly recommended.
42,23,3,Reasonable pricing with satisfactory quality.
45,62,4,Great flavors and quick service. Would definitely visit again.
5,59,5,Great flavors and quick service. Would definitely visit again.
3,26,2,Expected better quality for the price.
20,66,4,Worth every rupee. Delicious and hygienic.
31,33,5,Great flavors and quick service. Would definitely visit again.
19,46,2,Food was cold when served and lacked flavor.
42,43,5,One of the best meals I've had in Delhi. Highly recommended.
28,52,3,Reasonable pricing with satisfactory quality.
22,24,4,Authentic taste with generous portions and friendly staff.
24,67,5,Absolutely loved the food. Fresh ingredients and excellent taste.
47,55,5,Worth every rupee. Delicious and hygienic.
12,70,5,Absolutely loved the food. Fresh ingredients and excellent taste.
6,42,3,Nice place overall though seating could improve.
29,55,5,Authentic taste with generous portions and friendly staff.
23,58,5,One of the best meals I've had in Delhi. Highly recommended.
40,56,5,Absolutely loved the food. Fresh ingredients and excellent taste.
5,52,4,Great flavors and quick service. Would definitely visit again.
2,19,3,Reasonable pricing with satisfactory quality.
3,17,5,One of the best meals I've had in Delhi. Highly recommended.
24,50,2,Food was cold when served and lacked flavor.
39,20,3,Nice place overall though seating could improve.
24,57,3,Good taste but waiting time was a little long.
34,47,4,One of the best meals I've had in Delhi. Highly recommended.
16,15,5,Great flavors and quick service. Would definitely visit again.
32,67,4,Worth every rupee. Delicious and hygienic.
8,34,3,Reasonable pricing with satisfactory quality.
14,37,3,Reasonable pricing with satisfactory quality.
13,16,5,Absolutely loved the food. Fresh ingredients and excellent taste.
29,23,2,Not a great experience. Can be improved.
6,41,3,Food was decent and service was average.
36,70,5,One of the best meals I've had in Delhi. Highly recommended.
11,23,3,Good taste but waiting time was a little long.
8,26,3,Good taste but waiting time was a little long.
32,4,4,Worth every rupee. Delicious and hygienic.
24,60,3,Good taste but waiting time was a little long.
40,12,5,Authentic taste with generous portions and friendly staff.
46,62,4,Authentic taste with generous portions and friendly staff.
37,10,5,One of the best meals I've had in Delhi. Highly recommended.
42,10,4,Worth every rupee. Delicious and hygienic.
23,17,2,Service was slow and the order was delayed.
50,17,4,Absolutely loved the food. Fresh ingredients and excellent taste.
8,67,5,Great flavors and quick service. Would definitely visit again.
11,42,2,Service was slow and the order was delayed.
23,67,2,Food was cold when served and lacked flavor.
17,26,4,Worth every rupee. Delicious and hygienic.
18,17,4,Worth every rupee. Delicious and hygienic.
35,12,4,Great flavors and quick service. Would definitely visit again.
38,75,5,Worth every rupee. Delicious and hygienic.
47,44,3,Food was decent and service was average.
2,11,5,Worth every rupee. Delicious and hygienic.
17,27,3,Reasonable pricing with satisfactory quality.
40,4,4,Worth every rupee. Delicious and hygienic.
19,39,4,Authentic taste with generous portions and friendly staff.
20,59,5,Absolutely loved the food. Fresh ingredients and excellent taste.
11,57,4,Authentic taste with generous portions and friendly staff.
14,44,4,One of the best meals I've had in Delhi. Highly recommended.
46,41,3,Nice place overall though seating could improve.
26,17,3,Food was decent and service was average.
21,31,4,One of the best meals I've had in Delhi. Highly recommended.
29,32,5,Absolutely loved the food. Fresh ingredients and excellent taste.
19,50,2,Not a great experience. Can be improved.
16,21,3,Nice place overall though seating could improve.
13,21,4,Worth every rupee. Delicious and hygienic.
30,64,2,Not a great experience. Can be improved.
2,12,2,Not a great experience. Can be improved.
16,28,4,Absolutely loved the food. Fresh ingredients and excellent taste.
4,37,4,Authentic taste with generous portions and friendly staff.
19,69,5,Absolutely loved the food. Fresh ingredients and excellent taste.
28,18,2,Expected better quality for the price.
49,52,4,Authentic taste with generous portions and friendly staff.
4,73,4,One of the best meals I've had in Delhi. Highly recommended.
36,37,5,Worth every rupee. Delicious and hygienic.
29,71,5,Worth every rupee. Delicious and hygienic.
44,16,5,Absolutely loved the food. Fresh ingredients and excellent taste.
26,48,3,Nice place overall though seating could improve.
36,47,3,Good taste but waiting time was a little long.
39,66,4,Absolutely loved the food. Fresh ingredients and excellent taste.
3,5,5,One of the best meals I've had in Delhi. Highly recommended.
31,67,4,Worth every rupee. Delicious and hygienic.
33,18,5,Worth every rupee. Delicious and hygienic.
21,21,4,Worth every rupee. Delicious and hygienic.
48,39,4,Worth every rupee. Delicious and hygienic.
33,69,4,Worth every rupee. Delicious and hygienic.
20,61,3,Nice place overall though seating could improve.
22,15,1,Expected better quality for the price.
47,4,4,One of the best meals I've had in Delhi. Highly recommended.
42,75,4,Absolutely loved the food. Fresh ingredients and excellent taste.
38,62,5,Worth every rupee. Delicious and hygienic.
50,49,5,Great flavors and quick service. Would definitely visit again.
3,74,2,Food was cold when served and lacked flavor.
13,3,4,Authentic taste with generous portions and friendly staff.
10,53,3,Reasonable pricing with satisfactory quality.
33,61,2,Food was cold when served and lacked flavor.
46,18,4,Worth every rupee. Delicious and hygienic.
21,62,4,One of the best meals I've had in Delhi. Highly recommended.
12,59,2,Expected better quality for the price.
35,46,3,Nice place overall though seating could improve.
40,62,5,Great flavors and quick service. Would definitely visit again.
18,72,5,One of the best meals I've had in Delhi. Highly recommended.
50,37,3,Reasonable pricing with satisfactory quality.
21,62,5,One of the best meals I've had in Delhi. Highly recommended.
19,16,4,Worth every rupee. Delicious and hygienic.
25,51,3,Good taste but waiting time was a little long.
19,6,5,Absolutely loved the food. Fresh ingredients and excellent taste.
23,57,3,Reasonable pricing with satisfactory quality.
14,26,3,Nice place overall though seating could improve.
36,35,5,Worth every rupee. Delicious and hygienic.
48,31,5,Worth every rupee. Delicious and hygienic.
15,30,5,Authentic taste with generous portions and friendly staff.
22,61,5,Great flavors and quick service. Would definitely visit again.
1,71,1,Service was slow and the order was delayed.
27,61,4,Great flavors and quick service. Would definitely visit again.
49,37,5,Absolutely loved the food. Fresh ingredients and excellent taste.
50,12,3,Good taste but waiting time was a little long.
35,5,2,Service was slow and the order was delayed.
27,23,2,Food was cold when served and lacked flavor.
26,64,5,One of the best meals I've had in Delhi. Highly recommended.
3,2,5,Worth every rupee. Delicious and hygienic.
7,43,5,Worth every rupee. Delicious and hygienic.
34,64,2,Service was slow and the order was delayed.
33,60,5,Absolutely loved the food. Fresh ingredients and excellent taste.
22,21,3,Nice place overall though seating could improve.
46,24,5,One of the best meals I've had in Delhi. Highly recommended.
19,73,3,Good taste but waiting time was a little long.
12,52,3,Nice place overall though seating could improve.
6,52,3,Good taste but waiting time was a little long.
9,62,5,Great flavors and quick service. Would definitely visit again.
1,34,4,Authentic taste with generous portions and friendly staff.
49,35,1,Expected better quality for the price.
38,74,5,One of the best meals I've had in Delhi. Highly recommended.
45,31,5,Absolutely loved the food. Fresh ingredients and excellent taste.
30,40,5,Worth every rupee. Delicious and hygienic.
46,40,3,Nice place overall though seating could improve.
24,29,5,Great flavors and quick service. Would definitely visit again.
31,20,4,Worth every rupee. Delicious and hygienic.
24,54,3,Reasonable pricing with satisfactory quality.
49,69,3,Good taste but waiting time was a little long.
